"determiner","target_object1","figure","ExpFiller","correctAns1","object1","prime","target2","location3","location5","Prime","display_type","list","correctAns2","location4","size","workerid","object3","condition","target_figure3","instruction1","response","Res_object","condition1","location1","Answer.condition","target_object3","location10","Answer.time_in_minutes","instruction3","location6","object4","location9","location8","target1","size1","determiner1","displayID","response_times","competitor2","location7","location2","competitor1","object2","target_figure1","Intro_object","setting","speaker_cond"
"some","","Michael's","Exp","AOI2","","",8,"2_pencils","1_pencil","BoySomeMichaelScissors","33-33",1,"AOI8","3_erasers","small",10,"","some","boy","","['AOI8', 'AOI8', 'AOI8', 'AOI8']","","","3_rulers","undefined","2_scissors","girl",18.97715,"Click on the boy that has some of Michael's scissors","1_scissor","","girl","boy",2,"","",12,"[2966, 4303, 6146, 6814]",7,"boy","2_scissors",1,"","","","stationeries","list1"
"four","","Amy's","Filler","AOI4","","",10,"2_spoons","1_knife","GirlFourAmyPlates","44-22",1,"AOI10","4_plates","big",10,"","four","girl","","['AOI8', 'AOI10', 'AOI10', 'AOI10']","","","1_knife","undefined","4_plates","girl",18.97715,"Click on the girl that has four of Amy's plates","1_fork","","girl","boy",4,"","",47,"[2127, 4151, 5327, 6232]",9,"boy","3_forks",3,"","","","kitchenwares","list1"
"two","","Amy's","Exp","AOI4","","",10,"3_plates","1_fork","GirlTwoAmyForks","33-33",1,"AOI10","2_forks","small",10,"","num","girl","","['AOI10', 'AOI10', 'AOI10', 'AOI10']","","","2_knives","undefined","2_forks","girl",18.97715,"Click on the girl that has two of Amy's forks","1_knife","","girl","boy",4,"","",13,"[1663, 4934, 6391, 7529]",9,"boy","3_spoons",3,"","","","kitchenwares","list1"
"four","","Amy's","Filler","AOI3","","",9,"4_knives","1_spoon","GirlFourAmyKnives","44-22",1,"AOI9","2_forks","big",10,"","four","girl","","['AOI8', 'AOI9', 'AOI9', 'AOI9']","","","1_spoon","undefined","4_knives","girl",18.97715,"Click on the girl that has four of Amy's knives","1_plate","","girl","boy",3,"","",46,"[4773, 6534, 7645, 8598]",10,"boy","3_plates",4,"","","","kitchenwares","list1"
"some","","Michael's","Exp","AOI1","","",7,"3_scissors","1_pencil","BoySomeMichaelPencils","44-22",1,"AOI7","2_rulers","big",10,"","some","boy","","['AOI7', 'AOI7', 'AOI7', 'AOI7']","","","3_pencils","undefined","3_pencils","girl",18.97715,"Click on the boy that has some of Michael's pencils","1_scissor","","girl","boy",1,"","",29,"[3959, 5006, 6569, 7445]",8,"boy","2_erasers",2,"","","","stationeries","list1"
"all","","Amy's","Exp","AOI3","","",9,"2_spoons","1_plate","GirlAllAmySpoons","44-22",1,"AOI9","3_forks","small",10,"","all","girl","","['AOI7', 'AOI10', 'AOI10', 'AOI9']","","","3_plates","undefined","2_spoons","girl",18.97715,"Click on the girl that has all of Amy's spoons","1_fork","","girl","boy",3,"","",36,"[6425, 9160, 10129, 12601]",10,"boy","2_knives",4,"","","","kitchenwares","list1"
"all","","Susan's","Exp","AOI3","","",9,"3_bananas","1_orange","GirlAllSusanBananas","33-33",1,"AOI9","2_oranges","big",10,"","all","girl","","['AOI7', 'AOI10', 'AOI10', 'AOI9']","","","2_pears","undefined","3_bananas","girl",18.97715,"Click on the girl that has all of Susan's bananas","1_pear","","girl","boy",3,"","",4,"[5711, 6807, 8463, 9679]",10,"boy","3_apples",4,"","","","fruit","list1"
"all","","Michael's","Exp","AOI1","","",7,"3_erasers","1_pencil","BoyAllMichaelScissors","33-33",1,"AOI7","2_rulers","big",10,"","all","boy","","['AOI9', 'AOI8', 'AOI8', 'AOI7']","","","3_scissors","undefined","3_scissors","girl",18.97715,"Click on the boy that has all of Michael's scissors","1_ruler","","girl","boy",1,"","",7,"[2343, 4150, 6635, 7830]",8,"boy","2_pencils",2,"","","","stationeries","list1"
"two","","Amy's","Exp","AOI1","","",7,"3_forks","1_fork","BoyTwoAmySpoons","44-22",1,"AOI7","2_plates","small",10,"","num","boy","","['AOI9', 'AOI7', 'AOI7', 'AOI7']","","","2_spoons","undefined","2_spoons","girl",18.97715,"Click on the boy that has two of Amy's spoons","1_knife","","girl","boy",1,"","",32,"[2863, 5032, 6856, 8088]",8,"boy","3_knives",2,"","","","kitchenwares","list1"
"all","","Susan's","Exp","AOI1","","",7,"3_oranges","1_orange","BoyAllSusanApples","44-22",1,"AOI7","2_bananas","small",10,"","all","boy","","['AOI7', 'AOI8', 'AOI8', 'AOI8']","","","2_apples","undefined","2_apples","girl",18.97715,"Click on the boy that has all of Susan's apples","1_pear","","girl","boy",1,"","",22,"[2655, 5015, 6487, 7728]",8,"boy","3_pears",2,"","","","fruit","list1"
"some","","Susan's","Exp","AOI2","","",8,"2_bananas","1_banana","BoySomeSusanOranges","33-33",1,"AOI8","3_pears","small",10,"","some","boy","","['AOI8', 'AOI8', 'AOI8', 'AOI8']","","","3_apples","undefined","2_oranges","girl",18.97715,"Click on the boy that has some of Susan's oranges","1_orange","","girl","boy",2,"","",2,"[3598, 6331, 7470, 8494]",7,"boy","2_oranges",1,"","","","fruit","list1"
"four","","Michael's","Filler","AOI4","","",10,"3_scissors","1_ruler","GirlFourMichaelPencils","44-22",1,"AOI10","4_pencils","big",10,"","four","girl","","['AOI9', 'AOI9', 'AOI10', 'AOI10']","","","1_ruler","undefined","4_pencils","girl",18.97715,"Click on the girl that has four of Michael's pencils","1_scissor","","girl","boy",4,"","",48,"[4184, 5079, 7016, 7960]",9,"boy","2_erasers",3,"","","","stationeries","list1"
"all","","Susan's","Exp","AOI2","","",8,"3_apples","1_apple","BoyAllSusanOranges","44-22",1,"AOI8","2_pears","small",10,"","all","boy","","['AOI9', 'AOI7', 'AOI7', 'AOI8']","","","3_bananas","undefined","2_oranges","girl",18.97715,"Click on the boy that has all of Susan's oranges","1_banana","","girl","boy",2,"","",21,"[2655, 5999, 7887, 10087]",7,"boy","2_oranges",1,"","","","fruit","list1"
"some","","Susan's","Exp","AOI1","","",7,"2_apples","1_apple","BoySomeSusanPears","33-33",1,"AOI7","3_oranges","small",10,"","some","boy","","['AOI7', 'AOI7', 'AOI7', 'AOI7']","","","2_pears","undefined","2_pears","girl",18.97715,"Click on the boy that has some of Susan's pears","1_pear","","girl","boy",1,"","",1,"[3918, 4935, 5943, 6863]",8,"boy","3_bananas",2,"","","","fruit","list1"
"all","","Amy's","Exp","AOI4","","",10,"3_knives","1_spoon","GirlAllAmyPlates","44-22",1,"AOI10","2_plates","small",10,"","all","girl","","['AOI7', 'AOI9', 'AOI9', 'AOI10']","","","3_spoons","undefined","2_plates","girl",18.97715,"Click on the girl that has all of Amy's plates","1_knife","","girl","boy",4,"","",35,"[2183, 4839, 5879, 7431]",9,"boy","2_forks",3,"","","","kitchenwares","list1"
"one","","Amy's","Filler","AOI1","","",7,"3_forks","2_plates","BoyOneAmyPlates","33-33",1,"AOI7","3_spoons","small",10,"","one","boy","","['AOI9', 'AOI8', 'AOI7', 'AOI7']","","","1_plate","undefined","1_plate","girl",18.97715,"Click on the boy that has one of Amy's plates","0","","girl","boy",1,"","",38,"[2384, 3792, 5584, 6704]",8,"boy","3_knives",2,"","","","kitchenwares","list1"
"some","","Amy's","Exp","AOI4","","",10,"3_spoons","1_fork","GirlSomeAmyPlates","33-33",1,"AOI10","2_plates","small",10,"","some","girl","","['AOI8', 'AOI9', 'AOI10', 'AOI10']","","","2_forks","undefined","2_plates","girl",18.97715,"Click on the girl that has some of Amy's plates","1_plate","","girl","boy",4,"","",16,"[2071, 3431, 7007, 8231]",9,"boy","3_knives",3,"","","","kitchenwares","list1"
"some","","Michael's","Exp","AOI1","","",7,"2_rulers","1_ruler","BoySomeMichaelErasers","33-33",1,"AOI7","3_scissors","small",10,"","some","boy","","['AOI9', 'AOI7', 'AOI7', 'AOI7']","","","2_erasers","undefined","2_erasers","girl",18.97715,"Click on the boy that has some of Michael's erasers","1_eraser","","girl","boy",1,"","",11,"[3623, 5815, 6791, 7703]",8,"boy","3_pencils",2,"","","","stationeries","list1"
"three","","Michael's","Exp","AOI3","","",9,"3_scissors","1_pencil","GirlThreeMichaelScissors","33-33",1,"AOI9","2_pencils","big",10,"","num","girl","","['AOI8', 'AOI9', 'AOI9', 'AOI9']","","","3_rulers","undefined","3_scissors","girl",18.97715,"Click on the girl that has three of Michael's scissors","1_eraser","","girl","boy",3,"","",10,"[2815, 4175, 5623, 6575]",10,"boy","2_erasers",4,"","","","stationeries","list1"
"all","","Michael's","Exp","AOI4","","",10,"3_scissors","1_eraser","GirlAllMichaelPencils","44-22",1,"AOI10","2_pencils","small",10,"","all","girl","","['AOI10', 'AOI10', 'AOI10', 'AOI10']","","","3_erasers","undefined","2_pencils","girl",18.97715,"Click on the girl that has all of Michael's pencils","1_scissor","","girl","boy",4,"","",25,"[5199, 6071, 6994, 8088]",9,"boy","2_rulers",3,"","","","stationeries","list1"
"","2_apples","Susan","Prac","AOI1","apples","BoySomeSusanapples",NA,"2_pears","1_apple","","33-33",NA,"AOI7","3_oranges","",11,"D3_bananas","","","Click on the boy that has some of Susan's apples","['AOI9', 'AOI7', 'AOI7', 'AOI7']","Fruit_residue","some","2_apples","undefined","","girl",7.2614,"","1_pear","D3_oranges","girl","boy",1,"small","some",1,"",NA,"boy","3_bananas",2,"D3_pears","boy","Fruit_Susan_Monday","fruit","list1"
"","2_pears","Susan","Prac","AOI2","pears","BoyAllSusanpears",NA,"3_apples","1_apple","","44-22",NA,"AOI8","2_oranges","",11,"D4_bananas","","","Click on the boy that has all of Susan's pears","['AOI7', 'AOI8', 'AOI7', 'AOI8']","Slience","all","3_bananas","undefined","","girl",7.2614,"","1_banana","D2_oranges","girl","boy",2,"small","all",2,"",NA,"boy","2_pears",1,"D2_pears","boy","Fruit_Susan_Tuesday","fruit","list1"
"","3_erasers","Michael","Prac","AOI3","erasers","GirlAllMichaelerasers",NA,"3_erasers","1_pencil","","33-33",NA,"AOI9","2_rulers","",11,"D3_erasers","","","Click on the girl that has all of Michael's erasers","['AOI9', 'AOI9', 'AOI9', 'AOI9']","Residue_stationary","all","3_scissors","undefined","","girl",7.2614,"","1_ruler","D3_rulers","girl","boy",3,"big","all",3,"",NA,"boy","2_pencils",4,"D3_pencils","girl","Stationary_Michael_Monday","office supplies","list1"
"","2_rulers","Michael","Prac","AOI4","rulers","GirlTwoMichaelrulers",NA,"3_erasers","1_pencil","","44-22",NA,"AOI10","2_rulers","",11,"D4_erasers","","","Click on the girl that has two of Michael's rulers","['AOI9', 'AOI10', 'AOI10', 'AOI10']","Residue_stationary","num","3_pencils","undefined","","girl",7.2614,"","1_eraser","D2_rulers","girl","boy",4,"small","two",4,"",NA,"boy","2_scissors",3,"D4_pencils","girl","Stationary_Michael_Tuesday","office supplies","list1"
"","3_spoons","Amy","Prac","AOI1","spoons","BoyThreeAmyspoons",NA,"3_plates","1_fork","","33-33",NA,"AOI7","2_forks","",11,"D3_spoons","","","Click on the boy that has three of Amy's spoons","['AOI7', 'AOI7', 'AOI7', 'AOI7']","Slience","num","3_spoons","undefined","","girl",7.2614,"","1_knife","D3_knives","girl","boy",1,"big","three",5,"",NA,"boy","2_knives",2,"D3_forks","boy","kitchware_Amy_Tuesday","kitchenwares","list1"
"","3_knives","Amy","Prac","AOI3","knives","GirlSomeAmyknives",NA,"3_knives","1_fork","","44-22",NA,"AOI9","2_plates","",11,"D2_spoons","","","Click on the girl that has some of Amy's knives","['AOI9', 'AOI9', 'AOI9', 'AOI10']","Residue_kitchen","some","2_spoons","undefined","","girl",7.2614,"","1_knife","D4_knives","girl","boy",3,"big","some",6,"",NA,"boy","3_forks",4,"D4_forks","girl","kitchware_Amy_Monday","kitchenwares","list1"
"one","","Amy's","Filler","AOI2","","",8,"3_plates","2_spoons","BoyOneAmySpoons","33-33",1,"AOI8","3_knives","small",11,"","one","boy","","['AOI9', 'AOI8', 'AOI8', 'AOI8']","","","3_forks","undefined","1_spoon","girl",7.2614,"Click on the boy that has one of Amy's spoons","0","","girl","boy",2,"","",39,"[2264, 4296, 5167, 5807]",7,"boy","1_spoon",1,"","","","kitchenwares","list1"
"some","","Michael's","Exp","AOI1","","",7,"2_rulers","1_ruler","BoySomeMichaelErasers","33-33",1,"AOI7","3_scissors","small",11,"","some","boy","","['AOI9', 'AOI7', 'AOI7', 'AOI7']","","","2_erasers","undefined","2_erasers","girl",7.2614,"Click on the boy that has some of Michael's erasers","1_eraser","","girl","boy",1,"","",11,"[3079, 4600, 6039, 7135]",8,"boy","3_pencils",2,"","","","stationeries","list1"
"all","","Susan's","Exp","AOI2","","",8,"2_bananas","1_apple","BoyAllSusanPears","33-33",1,"AOI8","3_oranges","big",11,"","all","boy","","['AOI9', 'AOI8', 'AOI8', 'AOI8']","","","2_apples","undefined","3_pears","girl",7.2614,"Click on the boy that has all of Susan's pears","1_banana","","girl","boy",2,"","",3,"[2056, 3864, 5032, 5632]",7,"boy","3_pears",1,"","","","fruit","list1"
"some","","Michael's","Exp","AOI2","","",8,"2_pencils","1_pencil","BoySomeMichaelScissors","33-33",1,"AOI8","3_erasers","small",11,"","some","boy","","['AOI10', 'AOI8', 'AOI8', 'AOI8']","","","3_rulers","undefined","2_scissors","girl",7.2614,"Click on the boy that has some of Michael's scissors","1_scissor","","girl","boy",2,"","",12,"[2495, 4080, 6752, 7952]",7,"boy","2_scissors",1,"","","","stationeries","list1"
"four","","Amy's","Filler","AOI4","","",10,"2_spoons","1_knife","GirlFourAmyPlates","44-22",1,"AOI10","4_plates","big",11,"","four","girl","","['AOI8', 'AOI10', 'AOI10', 'AOI10']","","","1_knife","undefined","4_plates","girl",7.2614,"Click on the girl that has four of Amy's plates","1_fork","","girl","boy",4,"","",47,"[1751, 3207, 4764, 5256]",9,"boy","3_forks",3,"","","","kitchenwares","list1"
"all","","Amy's","Exp","AOI1","","",7,"3_spoons","1_plate","BoyAllAmyKnives","33-33",1,"AOI7","2_forks","big",11,"","all","boy","","['AOI9', 'AOI7', 'AOI7', 'AOI7']","","","3_knives","undefined","3_knives","girl",7.2614,"Click on the boy that has all of Amy's knives","1_fork","","girl","boy",1,"","",18,"[2471, 3584, 5440, 6024]",8,"boy","2_plates",2,"","","","kitchenwares","list1"
"four","","Susan's","Filler","AOI2","","",8,"3_pears","1_orange","BoyFourSusanBananas","44-22",1,"AOI8","2_apples","big",11,"","four","boy","","['AOI9', 'AOI7', 'AOI8', 'AOI8']","","","1_orange","undefined","4_bananas","girl",7.2614,"Click on the boy that has four of Susan's bananas","1_pear","","girl","boy",2,"","",44,"[2182, 4015, 5360, 5975]",7,"boy","4_bananas",1,"","","","fruit","list1"
"two","","Michael's","Exp","AOI3","","",9,"2_rulers","1_ruler","GirlTwoMichaelRulers","33-33",1,"AOI9","3_erasers","small",11,"","num","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI9']","","","3_pencils","undefined","2_rulers","girl",7.2614,"Click on the girl that has two of Michael's rulers","1_scissor","","girl","boy",3,"","",9,"[4391, 5248, 6400, 6921]",10,"boy","2_scissors",4,"","","","stationeries","list1"
"some","","Amy's","Exp","AOI3","","",9,"2_knives","1_spoon","GirlSomeAmyKnives","33-33",1,"AOI9","3_forks","small",11,"","some","girl","","['AOI10', 'AOI10', 'AOI10', 'AOI10']","","","2_spoons","undefined","2_knives","girl",7.2614,"Click on the girl that has some of Amy's knives","1_knife","","girl","boy",3,"","",15,"[1606, 2270, 3352, 4086]",10,"boy","3_plates",4,"","","","kitchenwares","list1"
"two","","Susan's","Exp","AOI4","","",10,"3_oranges","1_banana","GirlTwoSusanBananas","33-33",1,"AOI10","2_bananas","small",11,"","num","girl","","['AOI9', 'AOI9', 'AOI10', 'AOI10']","","","2_pears","undefined","2_bananas","girl",7.2614,"Click on the girl that has two of Susan's bananas","1_pear","","girl","boy",4,"","",5,"[3472, 4490, 6241, 6929]",9,"boy","3_apples",3,"","","","fruit","list1"
"all","","Susan's","Exp","AOI1","","",7,"3_oranges","1_orange","BoyAllSusanApples","44-22",1,"AOI7","2_bananas","small",11,"","all","boy","","['AOI8', 'AOI8', 'AOI8', 'AOI8']","","","2_apples","undefined","2_apples","girl",7.2614,"Click on the boy that has all of Susan's apples","1_pear","","girl","boy",1,"","",22,"[1911, 2622, 3775, 4279]",8,"boy","3_pears",2,"","","","fruit","list1"
"all","","Amy's","Exp","AOI3","","",9,"2_spoons","1_plate","GirlAllAmySpoons","44-22",1,"AOI9","3_forks","small",11,"","all","girl","","['AOI7', 'AOI9', 'AOI10', 'AOI10']","","","3_plates","undefined","2_spoons","girl",7.2614,"Click on the girl that has all of Amy's spoons","1_fork","","girl","boy",3,"","",36,"[4327, 5432, 8695, 9511]",10,"boy","2_knives",4,"","","","kitchenwares","list1"
"some","","Michael's","Exp","AOI4","","",10,"2_scissors","1_ruler","GirlSomeMichaelRulers","44-22",1,"AOI10","3_rulers","big",11,"","some","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI10']","","","3_erasers","undefined","3_rulers","girl",7.2614,"Click on the girl that has some of Michael's rulers","1_eraser","","girl","boy",4,"","",30,"[3607, 5248, 7319, 8639]",9,"boy","2_pencils",3,"","","","stationeries","list1"
"all","","Michael's","Exp","AOI4","","",10,"2_erasers","1_eraser","GirlAllMichaelRulers","33-33",1,"AOI10","3_rulers","big",11,"","all","girl","","['AOI7', 'AOI9', 'AOI10', 'AOI10']","","","2_scissors","undefined","3_rulers","girl",7.2614,"Click on the girl that has all of Michael's rulers","1_scissor","","girl","boy",4,"","",8,"[2064, 3616, 5496, 6736]",9,"boy","3_pencils",3,"","","","stationeries","list1"
"all","","Susan's","Exp","AOI2","","",8,"3_apples","1_apple","BoyAllSusanOranges","44-22",1,"AOI8","2_pears","small",11,"","all","boy","","['AOI9', 'AOI7', 'AOI7', 'AOI8']","","","3_bananas","undefined","2_oranges","girl",7.2614,"Click on the boy that has all of Susan's oranges","1_banana","","girl","boy",2,"","",21,"[1616, 3183, 5216, 6465]",7,"boy","2_oranges",1,"","","","fruit","list1"
"some","","Susan's","Exp","AOI4","","",10,"2_pears","1_banana","GirlSomeSusanBananas","44-22",1,"AOI10","3_bananas","big",11,"","some","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI10']","","","3_oranges","undefined","3_bananas","girl",7.2614,"Click on the girl that has some of Susan's bananas","1_orange","","girl","boy",4,"","",19,"[1910, 3111, 4919, 6167]",9,"boy","2_apples",3,"","","","fruit","list1"
"all","","Michael's","Exp","AOI4","","",10,"3_scissors","1_eraser","GirlAllMichaelPencils","44-22",1,"AOI10","2_pencils","small",11,"","all","girl","","['AOI7', 'AOI9', 'AOI9', 'AOI10']","","","3_erasers","undefined","2_pencils","girl",7.2614,"Click on the girl that has all of Michael's pencils","1_scissor","","girl","boy",4,"","",25,"[2016, 3359, 4583, 6175]",9,"boy","2_rulers",3,"","","","stationeries","list1"
"three","","Amy's","Exp","AOI2","","",8,"2_plates","1_spoon","BoyThreeAmyKnives","33-33",1,"AOI8","3_forks","big",11,"","num","boy","","['AOI9', 'AOI8', 'AOI8', 'AOI8']","","","2_spoons","undefined","3_knives","girl",7.2614,"Click on the boy that has three of Amy's knives","1_plate","","girl","boy",2,"","",14,"[1552, 3200, 4496, 5025]",7,"boy","3_knives",1,"","","","kitchenwares","list1"
"three","","Michael's","Exp","AOI2","","",8,"2_scissors","1_pencil","BoyThreeMichaelErasers","44-22",1,"AOI8","3_pencils","big",11,"","num","boy","","['AOI8', 'AOI7', 'AOI8', 'AOI8']","","","2_rulers","undefined","3_erasers","girl",7.2614,"Click on the boy that has three of Michael's erasers","1_eraser","","girl","boy",2,"","",27,"[2046, 3119, 5327, 6255]",7,"boy","3_erasers",1,"","","","stationeries","list1"
"one","","Susan's","Filler","AOI1","","",7,"3_bananas","2_apples","BoyOneSusanApples","33-33",1,"AOI7","3_oranges","small",11,"","one","boy","","['AOI9', 'AOI7', 'AOI7', 'AOI7']","","","1_apple","undefined","1_apple","girl",7.2614,"Click on the boy that has one of Susan's apples","0","","girl","boy",1,"","",37,"[1984, 2951, 4984, 5575]",8,"boy","3_pears",2,"","","","fruit","list1"
"some","","Amy's","Exp","AOI4","","",10,"3_spoons","1_fork","GirlSomeAmyPlates","33-33",1,"AOI10","2_plates","small",11,"","some","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI10']","","","2_forks","undefined","2_plates","girl",7.2614,"Click on the girl that has some of Amy's plates","1_plate","","girl","boy",4,"","",16,"[2120, 3143, 4559, 5975]",9,"boy","3_knives",3,"","","","kitchenwares","list1"
"four","","Susan's","Filler","AOI3","","",9,"4_oranges","1_banana","GirlFourSusanOranges","44-22",1,"AOI9","1_banana","big",11,"","four","girl","","['AOI7', 'AOI9', 'AOI9', 'AOI9']","","","2_pears","undefined","4_oranges","girl",7.2614,"Click on the girl that has four of Susan's oranges","1_apple","","girl","boy",3,"","",45,"[1560, 2736, 4091, 4448]",10,"boy","3_apples",4,"","","","fruit","list1"
"two","","Amy's","Exp","AOI4","","",10,"3_plates","1_fork","GirlTwoAmyForks","33-33",1,"AOI10","2_forks","small",11,"","num","girl","","['AOI9', 'AOI9', 'AOI10', 'AOI10']","","","2_knives","undefined","2_forks","girl",7.2614,"Click on the girl that has two of Amy's forks","1_knife","","girl","boy",4,"","",13,"[2552, 3543, 4744, 5367]",9,"boy","3_spoons",3,"","","","kitchenwares","list1"
"all","","Amy's","Exp","AOI4","","",10,"3_knives","1_spoon","GirlAllAmyPlates","44-22",1,"AOI10","2_plates","small",11,"","all","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI10']","","","3_spoons","undefined","2_plates","girl",7.2614,"Click on the girl that has all of Amy's plates","1_knife","","girl","boy",4,"","",35,"[1160, 1976, 3272, 4657]",9,"boy","2_forks",3,"","","","kitchenwares","list1"
"all","","Michael's","Exp","AOI1","","",7,"3_erasers","1_pencil","BoyAllMichaelScissors","33-33",1,"AOI7","2_rulers","big",11,"","all","boy","","['AOI10', 'AOI7', 'AOI7', 'AOI7']","","","3_scissors","undefined","3_scissors","girl",7.2614,"Click on the boy that has all of Michael's scissors","1_ruler","","girl","boy",1,"","",7,"[950, 2135, 2791, 3783]",8,"boy","2_pencils",2,"","","","stationeries","list1"
"all","","Michael's","Exp","AOI3","","",9,"2_erasers","1_pencil","GirlAllMichaelErasers","44-22",1,"AOI9","3_rulers","small",11,"","all","girl","","['AOI7', 'AOI9', 'AOI9', 'AOI9']","","","3_pencils","undefined","2_erasers","girl",7.2614,"Click on the girl that has all of Michael's erasers","1_ruler","","girl","boy",3,"","",26,"[919, 2423, 3344, 4103]",10,"boy","2_scissors",4,"","","","stationeries","list1"
"some","","Susan's","Exp","AOI2","","",8,"2_bananas","1_banana","BoySomeSusanOranges","33-33",1,"AOI8","3_pears","small",11,"","some","boy","","['AOI8', 'AOI8', 'AOI8', 'AOI8']","","","3_apples","undefined","2_oranges","girl",7.2614,"Click on the boy that has some of Susan's oranges","1_orange","","girl","boy",2,"","",2,"[2472, 3192, 4448, 5448]",7,"boy","2_oranges",1,"","","","fruit","list1"
"some","","Michael's","Exp","AOI1","","",7,"3_scissors","1_pencil","BoySomeMichaelPencils","44-22",1,"AOI7","2_rulers","big",11,"","some","boy","","['AOI8', 'AOI7', 'AOI7', 'AOI7']","","","3_pencils","undefined","3_pencils","girl",7.2614,"Click on the boy that has some of Michael's pencils","1_scissor","","girl","boy",1,"","",29,"[1223, 2487, 3583, 4872]",8,"boy","2_erasers",2,"","","","stationeries","list1"
"some","","Amy's","Exp","AOI2","","",8,"2_forks","1_spoon","BoySomeAmySpoons","44-22",1,"AOI8","3_knives","big",11,"","some","boy","","['AOI9', 'AOI7', 'AOI7', 'AOI8']","","","2_plates","undefined","3_spoons","girl",7.2614,"Click on the boy that has some of Amy's spoons","1_knife","","girl","boy",2,"","",33,"[1495, 2535, 3159, 4192]",7,"boy","3_spoons",1,"","","","kitchenwares","list1"
"one","","Michael's","Filler","AOI2","","",8,"3_pencils","2_scissors","BoyOneMichaelRulers","33-33",1,"AOI8","3_scissors","small",11,"","one","boy","","['AOI7', 'AOI7', 'AOI7', 'AOI8']","","","3_erasers","undefined","1_ruler","girl",7.2614,"Click on the boy that has one of Michael's rulers","0","","girl","boy",2,"","",40,"[1166, 1775, 3111, 4455]",7,"boy","1_ruler",1,"","","","stationeries","list1"
"two","","Amy's","Exp","AOI1","","",7,"3_forks","1_fork","BoyTwoAmySpoons","44-22",1,"AOI7","2_plates","small",11,"","num","boy","","['AOI7', 'AOI7', 'AOI7', 'AOI7']","","","2_spoons","undefined","2_spoons","girl",7.2614,"Click on the boy that has two of Amy's spoons","1_knife","","girl","boy",1,"","",32,"[839, 1528, 4424, 5000]",8,"boy","3_knives",2,"","","","kitchenwares","list1"
"all","","Amy's","Exp","AOI2","","",8,"2_knives","1_spoon","BoyAllAmyForks","33-33",1,"AOI8","3_plates","big",11,"","all","boy","","['AOI7', 'AOI7', 'AOI8', 'AOI8']","","","2_spoons","undefined","3_forks","girl",7.2614,"Click on the boy that has all of Amy's forks","1_knife","","girl","boy",2,"","",17,"[1351, 1864, 3511, 4183]",7,"boy","3_forks",1,"","","","kitchenwares","list1"
"three","","Susan's","Exp","AOI3","","",9,"3_oranges","1_apple","GirlThreeSusanOranges","44-22",1,"AOI9","2_bananas","big",11,"","num","girl","","['AOI7', 'AOI9', 'AOI9', 'AOI9']","","","3_apples","undefined","3_oranges","girl",7.2614,"Click on the girl that has three of Susan's oranges","1_orange","","girl","boy",3,"","",23,"[1776, 2863, 4400, 4840]",10,"boy","2_pears",4,"","","","fruit","list1"
"four","","Amy's","Filler","AOI3","","",9,"4_knives","1_spoon","GirlFourAmyKnives","44-22",1,"AOI9","2_forks","big",11,"","four","girl","","['AOI9', 'AOI10', 'AOI9', 'AOI9']","","","1_spoon","undefined","4_knives","girl",7.2614,"Click on the girl that has four of Amy's knives","1_plate","","girl","boy",3,"","",46,"[1247, 2423, 4175, 4839]",10,"boy","3_plates",4,"","","","kitchenwares","list1"
"one","","Michael's","Filler","AOI3","","",9,"1_eraser","2_erasers","GirlOneMichaelErasers","33-33",1,"AOI9","3_rulers","small",11,"","one","girl","","['AOI9', 'AOI9', 'AOI9', 'AOI9']","","","3_pencils","undefined","1_eraser","girl",7.2614,"Click on the girl that has one of Michael's erasers","0","","girl","boy",3,"","",41,"[1223, 2079, 4047, 4864]",10,"boy","3_scissors",4,"","","","stationeries","list1"
"four","","Michael's","Filler","AOI1","","",7,"2_rulers","1_pencil","BoyFourMichaelScissors","44-22",1,"AOI7","3_erasers","big",11,"","four","boy","","['AOI10', 'AOI7', 'AOI7', 'AOI7']","","","4_scissors","undefined","4_scissors","girl",7.2614,"Click on the boy that has four of Michael's scissors","1_eraser","","girl","boy",1,"","",43,"[1591, 2760, 3568, 3911]",8,"boy","1_pencil",2,"","","","stationeries","list1"
"some","","Amy's","Exp","AOI3","","",9,"3_forks","1_fork","GirlSomeAmyForks","44-22",1,"AOI9","2_knives","big",11,"","some","girl","","['AOI7', 'AOI9', 'AOI9', 'AOI9']","","","2_spoons","undefined","3_forks","girl",7.2614,"Click on the girl that has some of Amy's forks","1_plate","","girl","boy",3,"","",34,"[1215, 2680, 4104, 5320]",10,"boy","3_plates",4,"","","","kitchenwares","list1"
"one","","Amy's","Filler","AOI1","","",7,"3_forks","2_plates","BoyOneAmyPlates","33-33",1,"AOI7","3_spoons","small",11,"","one","boy","","['AOI9', 'AOI9', 'AOI7', 'AOI7']","","","1_plate","undefined","1_plate","girl",7.2614,"Click on the boy that has one of Amy's plates","0","","girl","boy",1,"","",38,"[1224, 2103, 3958, 4583]",8,"boy","3_knives",2,"","","","kitchenwares","list1"
